557,PNBHOUSING,INE572E01012,905.25,20
558,PSUBNKBEES,INF204KB16I7,94.85,20
559,ADANIPORTS,INE742F01042,1491.1,12.5
560,HINDZINC,INE267A01025,472.15,20
561,SHANTIGOLD,INE06ZD01017,224.16,20
562,NYKAA,INE388Y01029,268.74,20
563,JISLJALEQS,INE175A01038,46.5,20
564,VESUVIUS,INE386A01023,475.4,20
565,J&KBANK,INE168A01041,107.43,20
566,PENIND,INE932A01024,218,23.41
567,SHREEJISPG,INE1B6101010,300.75,20
568,SGBSEP29VI,IN0020210145,12810.42,10
569,GANESHHOU,INE460C01014,806.9,20
570,PSB,INE608A01012,30.35,20
571,KIMS,INE967H01025,673.05,20
572,VIJAYA,INE043W01024,1011.4,20
573,METROPOLIS,INE112L01020,1959.5,20
574,AKZOINDIA,INE133A01011,3393.9,20
575,BSLNIFTY,INF209KB19D1,30.4,6
576,HGINFRA,INE926X01010,860.2,20
577,PCBL,INE602A01031,332.85,20
578,TATACOMM,INE151A01013,1917.4,20
579,GROWWLIQID,INF666M01IP5,106.68,5
580,ATGL,INE399L01023,609.05,20
581,DATAPATTNS,INE0IX101010,3104.6,20.37
582,SILVERETF,INF789F1AYK6,149.57,20
583,RAINBOW,INE961O01016,1337.9,20
584,METALIETF,INF109KC19W1,10.42,20
585,TEXRAIL,INE621L01012,131.47,20
586,SUNDRMFAST,INE387A01021,964.5,20
587,ASHOKLEY,INE208A01029,146.24,20
588,AMBER,INE371P01015,7256.5,20
589,GSPL,INE246F01010,300.8,20
590,SGBDC27VII,IN0020190461,12801.5,10
591,BDL,INE171Z01026,1557,20
592,NV20IETF,INF109KC11V0,14.95,20
593,RAYMONDLSL,INE02ID01020,1147.9,20
594,THYROCARE,INE594H01019,1525.2,20
595,SGBNOV25IX,IN0020170117,12599.97,10
596,ASKAUTOLTD,INE491J01022,482.1,20
597,FORCEMOT,INE451A01017,17508,22.12
598,BATAINDIA,INE176A01028,1009.4,20
599,MIDCAPIETF,INF109KC11W8,23.13,6
600,INFIBEAM,INE483S01020,19.52,20
601,CSBBANK,INE679A01013,419.95,20
602,JKCEMENT,INE823G01014,5633.5,20
603,WABAG,INE956G01038,1413,20
604,KRN,INE0Q3J01015,835.85,20
605,AVANTIFEED,INE871C01038,848,20
606,JYOTICNC,INE980O01024,992.15,20
607,DAMCAPITAL,INE284H01025,239.85,20
608,ASHOKA,INE442H01029,181.09,20
